data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-10-21 17:50:48.042616;23;Lajeado;Adriano Soares;Tenis Fila;Jonathan Hardy;masculino;boleto
2024-10-21 18:41:46.495242;24;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Robert Long;masculino;credito
2024-10-21 19:10:49.744441;25;São Paulo;Cassia Moraes;Tenis Adidas;Martha Cady;feminino;pix
2024-10-22 02:29:46.679593;26;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Elaine Szychowski;feminino;credito
2024-10-22 02:55:45.813962;27;São Paulo;Cassia Moraes;Tenis Nike;Terry Trott;masculino;credito
2024-10-22 16:48:45.457048;28;Canoas;Carlos Henrique;Tenis Fila;Delfina Pohl;feminino;credito
2024-10-22 16:51:48.827465;29;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Christopher Morissette;masculino;credito
2024-10-22 17:26:49.543148;30;Canoas;Luis Fernando;Tenis Nike;Ivan Mills;masculino;credito
2024-10-22 20:03:48.677818;31;Lajeado;Juliano Faccioni;Tenis Fila;Grace Marchiori;feminino;credito
2024-10-22 21:20:47.088544;32;São Paulo;Claudio Bueno;Tenis NB;Edna Knapp;feminino;credito
2024-10-22 23:01:47.117263;33;São Paulo;Claudio Bueno;Tenis Adidas;Anthony Syrett;masculino;credito
2024-10-22 23:04:46.169135;34;Lajeado;Adriano Soares;Tenis Fila;Debra Rowe;feminino;credito
2024-10-23 01:34:47.294734;35;Florianópolis;Mario Sérgio;Tenis Fila;Tommie Haring;feminino;credito
2024-10-23 02:31:48.999033;36;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Emma Haase;feminino;credito
2024-10-23 02:31:49.456212;37;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Scott Gamboa;masculino;credito
2024-10-23 02:34:48.922253;38;Florianópolis;Mario Sérgio;Tenis Nike;Carmelo Kimbrough;masculino;credito
2024-10-23 17:02:46.723142;39;Canoas;Luis Fernando;Tenis Adidas;Rosa Blodgett;feminino;credito
2024-10-23 17:06:46.020575;40;Lajeado;Adriano Soares;Tenis Adidas;Thomas Johnson;masculino;credito
2024-10-23 18:22:44.979729;41;Lajeado;Juliano Faccioni;Tenis Nike;Thomas Helms;masculino;credito
2024-10-23 18:27:46.802799;42;Canoas;Carlos Henrique;Tenis Nike;Frances Chan;feminino;pix
2024-10-23 22:12:44.979644;43;São Paulo;Claudio Bueno;Tenis Adidas;Anna Smith;feminino;credito
2024-10-23 23:10:47.728439;44;Lajeado;Adriano Soares;Tenis Fila;Ruth Rubio;feminino;pix
2024-10-24 00:35:47.173890;45;Lajeado;Adriano Soares;Tenis Adidas;Jeffrey Dickison;masculino;credito
2024-10-24 01:07:47.185686;46;São Paulo;Claudio Bueno;Tenis NB;Shirley Abraham;feminino;credito
2024-10-24 02:02:48.813409;47;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Kathy Holmgren;feminino;credito
2024-10-24 02:32:47.782997;48;Canoas;Luis Fernando;Tenis Fila;William Aldrich;masculino;credito
2024-10-24 17:11:49.360412;49;Canoas;Luis Fernando;Tenis Fila;Robert Perez;masculino;credito
2024-10-24 17:43:47.939429;50;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Jose Bailey;masculino;credito
2024-10-24 18:49:47.189890;51;Canoas;Carlos Henrique;Tenis Nike;Iona Larson;feminino;pix
2024-10-24 19:35:47.816397;52;São Paulo;Cassia Moraes;Tenis NB;Brian Cherry;masculino;credito
2024-10-24 21:06:47.751831;53;Porto Alegre;Luiza Cherobini;Tenis Fila;Marc Paynter;masculino;credito
2024-10-24 21:59:46.372560;54;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Eva Rowe;feminino;credito
2024-10-25 00:30:45.794342;55;Lajeado;Adriano Soares;Tenis Adidas;Mark Snyder;masculino;credito
2024-10-25 00:51:49.450503;56;São Paulo;Cassia Moraes;Tenis Nike;Alfred Colbert;masculino;credito
2024-10-25 03:00:46.080012;57;Florianópolis;Claudia dos Santos;Tenis NB;Douglas Benson;masculino;credito
2024-10-25 16:48:46.475495;58;Lajeado;Juliano Faccioni;Tenis Nike;Goldie Ramirez;feminino;credito
2024-10-25 17:57:48.546775;59;Caxias do Sul;Mateus Kienzle;Tenis Fila;Donna Elder;feminino;credito
2024-10-25 18:42:49.517290;60;Caxias do Sul;Mateus Kienzle;Tenis Nike;Imogene Holloway;feminino;pix
2024-10-25 18:56:46.959555;61;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;George Hudson;masculino;credito
2024-10-25 20:50:48.556723;62;Lajeado;Adriano Soares;Tenis Nike;Bruce Brandes;masculino;credito
2024-10-25 20:56:48.840413;63;Porto Alegre;Luiza Cherobini;Tenis Nike;Eddie Fisher;masculino;credito
2024-10-25 21:37:48.838246;64;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Donna Kendrick;feminino;credito
2024-10-25 23:03:49.280151;65;Canoas;Carlos Henrique;Tenis Adidas;Stacie Stowman;feminino;credito
2024-10-25 23:23:45.258673;66;Canoas;Carlos Henrique;Tenis Nike;Henry Lane;masculino;credito
2024-10-25 23:36:45.657744;67;Lajeado;Juliano Faccioni;Tenis Adidas;Sheri Crum;feminino;pix
2024-10-26 00:51:47.096842;68;Canoas;Carlos Henrique;Tenis Nike;James Hanks;masculino;pix
2024-10-26 01:32:45.172449;69;São Paulo;Claudio Bueno;Tenis NB;Salvador Moore;masculino;credito
2024-10-26 02:15:49.011117;70;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Justin Clay;masculino;pix
2024-10-26 16:38:49.279808;71;Porto Alegre;Luiza Cherobini;Tenis NB;Alexandra Taylor;feminino;credito
2024-10-26 18:25:48.675888;72;São Paulo;Cassia Moraes;Tenis Adidas;Daryl Curtis;masculino;credito
2024-10-26 21:16:45.868994;73;Canoas;Luis Fernando;Tenis Adidas;Armand Galbraith;masculino;boleto
2024-10-26 22:37:45.823173;74;Lajeado;Juliano Faccioni;Tenis Nike;Brian Lewis;masculino;credito
2024-10-26 23:21:49.453333;75;Porto Alegre;Luiza Cherobini;Tenis Adidas;Dennis Charlie;masculino;credito
2024-10-27 00:00:47.939156;76;Florianópolis;Claudia dos Santos;Tenis Fila;Teddy Griffin;masculino;pix
2024-10-27 18:09:49.583219;77;Caxias do Sul;Mateus Kienzle;Tenis Fila;Arthur Flynn;masculino;credito
2024-10-27 20:18:48.299776;78;Caxias do Sul;Mateus Kienzle;Tenis Nike;Amy Odum;feminino;credito
2024-10-27 21:17:47.924787;79;Canoas;Carlos Henrique;Tenis Fila;Ashley Mast;feminino;credito
2024-10-27 21:18:48.870696;80;Canoas;Luis Fernando;Tenis NB;Vernon Rodriguez;masculino;credito
2024-10-27 23:19:45.177372;81;São Paulo;Cassia Moraes;Tenis Adidas;Elizabeth Gunter;feminino;credito
2024-10-28 00:31:49.685830;82;Canoas;Carlos Henrique;Tenis Nike;Barbara Young;feminino;credito
2024-10-28 00:40:45.930927;83;Caxias do Sul;Mateus Kienzle;Tenis NB;Alicia Mcglynn;feminino;credito
2024-10-28 00:50:48.225020;84;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Lillian Chaney;feminino;credito
2024-10-28 01:54:49.212413;85;Caxias do Sul;Mateus Kienzle;Tenis NB;Lloyd Kelley;masculino;pix
2024-10-28 02:45:48.559189;86;Canoas;Carlos Henrique;Tenis Fila;Robert Lahey;masculino;credito
2024-10-28 17:01:47.482737;87;Lajeado;Adriano Soares;Tenis NB;Margart Sharpe;feminino;boleto
2024-10-28 18:33:46.368526;88;Lajeado;Adriano Soares;Tenis NB;Irene Christie;feminino;credito
2024-10-28 20:15:46.771171;89;Canoas;Carlos Henrique;Tenis Fila;Nancy Reid;feminino;credito
2024-10-28 23:07:47.163381;90;Canoas;Luis Fernando;Tenis Adidas;Joshua Rogers;masculino;credito
2024-10-28 23:32:48.831510;91;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Judith Gill;feminino;boleto
2024-10-29 00:01:47.728996;92;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Elmer Jackson;masculino;pix
2024-10-29 00:23:46.749220;93;Canoas;Luis Fernando;Tenis NB;James Winters;masculino;credito
2024-10-29 01:12:48.923153;94;Lajeado;Adriano Soares;Tenis Fila;Ed Gates;masculino;credito
2024-10-29 01:45:48.812756;95;Canoas;Carlos Henrique;Tenis NB;Jonathan Jaramillo;masculino;credito
2024-10-29 02:18:49.634527;96;Lajeado;Adriano Soares;Tenis Fila;Richard Shelvey;masculino;credito
2024-10-29 16:56:46.255557;97;Florianópolis;Mario Sérgio;Tenis NB;Bruce Bramlet;masculino;credito
2024-10-29 17:09:49.010811;98;São Paulo;Cassia Moraes;Tenis Fila;Tiffany Bean;feminino;credito
2024-10-29 18:38:47.448011;99;São Paulo;Cassia Moraes;Tenis NB;Brandon Crawford;masculino;credito
2024-10-29 19:51:49.116820;100;Lajeado;Adriano Soares;Tenis Nike;Kathleen Bowar;feminino;credito
2024-10-29 23:03:45.542716;101;Florianópolis;Claudia dos Santos;Tenis NB;Kenneth Kuziel;masculino;credito
2024-10-29 23:36:49.542432;102;Canoas;Luis Fernando;Tenis Adidas;William Gordon;masculino;credito
2024-10-29 23:46:45.398260;103;Porto Alegre;Luiza Cherobini;Tenis NB;Michael Cross;masculino;credito
2024-10-30 00:43:47.393306;104;Florianópolis;Claudia dos Santos;Tenis Fila;Kiley Doherty;feminino;credito
2024-10-30 01:41:48.875891;105;Canoas;Luis Fernando;Tenis Nike;Barry Townsend;masculino;pix
2024-10-30 18:05:46.715805;106;São Paulo;Cassia Moraes;Tenis Nike;Helen Wilbanks;feminino;credito
2024-10-30 18:50:46.477635;107;Lajeado;Adriano Soares;Tenis Fila;Jeanne Sanders;feminino;credito
2024-10-30 20:24:47.343091;108;Florianópolis;Claudia dos Santos;Tenis Fila;Charles Dietrich;masculino;credito
2024-10-30 21:06:45.898736;109;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Trish Cutwright;feminino;credito
2024-10-30 22:52:47.592858;110;Florianópolis;Mario Sérgio;Tenis NB;Marilyn Garner;feminino;credito
2024-10-30 23:22:46.715180;111;Lajeado;Adriano Soares;Tenis Nike;Nakisha Smith;feminino;credito
2024-10-31 00:37:45.461467;112;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Lisabeth Kelsheimer;feminino;credito
2024-10-31 01:25:48.357380;113;Canoas;Carlos Henrique;Tenis Adidas;Stephanie Perry;feminino;credito
2024-10-31 01:32:49.147153;114;Porto Alegre;Luiza Cherobini;Tenis Adidas;Kathi Sipes;feminino;credito
2024-10-31 02:38:47.140641;115;São Paulo;Claudio Bueno;Tenis NB;Blake Rimmer;masculino;credito
2024-10-31 18:01:48.517688;116;São Paulo;Claudio Bueno;Tenis NB;Juanita Pryor;feminino;credito
2024-10-31 19:07:45.354153;117;Canoas;Luis Fernando;Tenis Nike;Ronald Chang;masculino;credito
2024-10-31 20:22:46.312474;118;Canoas;Luis Fernando;Tenis Nike;Elizabeth Davis;feminino;credito
2024-10-31 20:55:46.863340;119;Canoas;Luis Fernando;Tenis Fila;Isabel Walker;feminino;credito
2024-10-31 21:11:46.799230;120;Canoas;Carlos Henrique;Tenis Fila;Rhoda Finkel;feminino;boleto
2024-10-31 22:09:49.542613;121;São Paulo;Cassia Moraes;Tenis Adidas;Flora Nelson;feminino;credito
2024-10-31 23:06:47.484823;122;São Paulo;Cassia Moraes;Tenis NB;Gary Fabrizio;masculino;credito
2024-10-31 23:07:47.503389;123;São Paulo;Claudio Bueno;Tenis NB;Jennifer Stein;feminino;credito
2024-11-01 00:55:46.392674;124;Porto Alegre;Rodrigo Tadewald;Tenis NB;Maria Defalco;feminino;pix
2024-11-01 01:19:46.760168;125;Lajeado;Adriano Soares;Tenis Fila;Donald Shafer;masculino;credito
2024-11-01 02:54:47.172006;126;Florianópolis;Claudia dos Santos;Tenis Fila;Nathan Smith;masculino;credito
2024-11-01 18:59:46.459930;127;São Paulo;Cassia Moraes;Tenis NB;Donte Fluegge;masculino;credito
2024-11-01 20:14:46.914651;128;Porto Alegre;Luiza Cherobini;Tenis NB;Steven Subido;masculino;credito
2024-11-01 21:07:45.815719;129;Lajeado;Adriano Soares;Tenis Fila;Lola Pinson;feminino;credito
2024-11-01 21:18:49.542782;130;Florianópolis;Claudia dos Santos;Tenis Nike;Elmer Lewis;masculino;pix
2024-11-01 22:02:47.401751;131;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Dori Greene;feminino;credito
2024-11-02 00:32:48.674209;132;Florianópolis;Claudia dos Santos;Tenis NB;Diana Steele;feminino;credito
2024-11-02 00:44:49.099913;133;São Paulo;Claudio Bueno;Tenis Adidas;Wendi Finley;feminino;pix
2024-11-02 17:08:48.596184;134;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Lillian Kochanski;feminino;credito
2024-11-02 17:16:45.069894;135;São Paulo;Claudio Bueno;Tenis Nike;Elizabeth Hiett;feminino;credito
2024-11-02 18:55:45.217455;136;Florianópolis;Claudia dos Santos;Tenis Adidas;Elizabeth Baldwin;feminino;boleto
2024-11-02 20:33:47.725390;137;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Sean Scott;masculino;credito
2024-11-02 20:45:45.704230;138;Lajeado;Adriano Soares;Tenis Nike;Brenda Prichard;feminino;credito
2024-11-03 00:25:49.279488;139;Porto Alegre;Luiza Cherobini;Tenis Adidas;Dolores Golden;feminino;pix
2024-11-03 00:49:47.142442;140;Florianópolis;Mario Sérgio;Tenis Adidas;Julia Clark;feminino;boleto
2024-11-03 01:55:47.939522;141;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Emily Strickland;feminino;credito
2024-11-03 16:27:46.749461;142;Florianópolis;Claudia dos Santos;Tenis Nike;Leroy Webb;masculino;credito
2024-11-03 18:08:49.395321;143;Porto Alegre;Luiza Cherobini;Tenis NB;Michael Morales;masculino;boleto
2024-11-03 20:06:47.883022;144;Lajeado;Juliano Faccioni;Tenis NB;Wilbur Allen;masculino;credito
2024-11-03 20:07:49.144632;145;Porto Alegre;Luiza Cherobini;Tenis Fila;Kenneth Odaniel;masculino;credito
2024-11-03 22:20:47.085000;146;Porto Alegre;Luiza Cherobini;Tenis Adidas;Ann Kaspar;feminino;credito
2024-11-03 22:33:47.724299;147;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Jessie Fugate;feminino;boleto
2024-11-03 22:42:45.532639;148;Florianópolis;Mario Sérgio;Tenis Fila;John Felipe;masculino;pix
2024-11-03 23:27:45.815588;149;Florianópolis;Claudia dos Santos;Tenis Fila;Martha Reynolds;feminino;boleto
2024-11-04 00:30:48.562871;150;Canoas;Luis Fernando;Tenis Fila;Steven Keefe;masculino;boleto
2024-11-04 02:23:45.232219;151;São Paulo;Claudio Bueno;Tenis NB;Margaret Guzman;feminino;credito
2024-11-04 02:41:47.446414;152;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Regina Chevalier;feminino;credito
2024-11-04 03:09:48.514534;153;São Paulo;Claudio Bueno;Tenis Fila;Mark Lopez;masculino;pix
2024-11-04 21:18:46.297966;154;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Jacqueline Burns;feminino;pix
2024-11-04 21:35:48.825138;155;São Paulo;Cassia Moraes;Tenis Adidas;Wendy Sykes;feminino;credito
2024-11-05 00:03:45.378619;156;Porto Alegre;Rodrigo Tadewald;Tenis NB;Robert Shary;masculino;credito
2024-11-05 00:45:49.728669;157;Porto Alegre;Luiza Cherobini;Tenis Nike;Marcella Taylor;feminino;credito
2024-11-05 01:51:47.697828;158;Canoas;Carlos Henrique;Tenis Adidas;Trista Ferguson;feminino;credito
2024-11-05 01:53:48.533717;159;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Bernie Gautier;masculino;credito
2024-11-05 16:59:46.443437;160;Florianópolis;Claudia dos Santos;Tenis Adidas;Nadine Branscum;feminino;credito
2024-11-05 17:57:47.708744;161;Florianópolis;Mario Sérgio;Tenis Nike;Byron Hopper;masculino;boleto
2024-11-05 21:27:48.797335;162;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Diana Platter;feminino;credito
2024-11-05 22:59:46.344740;163;Florianópolis;Mario Sérgio;Tenis Nike;Sarah Hor;feminino;credito
2024-11-05 23:50:48.341580;164;Porto Alegre;Luiza Cherobini;Tenis Adidas;Peter Dueber;masculino;boleto
2024-11-06 00:09:46.846431;165;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Patricia Foster;feminino;credito
2024-11-06 01:00:48.666826;166;Florianópolis;Mario Sérgio;Tenis Fila;Lois Fugate;feminino;credito
2024-11-06 03:04:49.082771;167;Porto Alegre;Luiza Cherobini;Tenis Adidas;Harold Nelson;masculino;boleto
2024-11-06 16:31:46.082130;168;São Paulo;Cassia Moraes;Tenis Nike;Edward Smith;masculino;credito
2024-11-06 17:52:48.724812;169;Canoas;Luis Fernando;Tenis Fila;Royce Alvarez;masculino;credito
2024-11-07 19:34:48.723710;170;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;John Doyle;masculino;credito
2024-11-07 21:03:48.213710;171;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Sylvia Gray;feminino;pix
2024-11-07 22:54:49.312856;172;São Paulo;Cassia Moraes;Tenis Adidas;Estela Madigan;feminino;credito
2024-11-08 01:36:46.493916;173;Lajeado;Juliano Faccioni;Tenis NB;Thomas Mulholland;masculino;credito
2024-11-08 02:53:46.894465;174;São Paulo;Cassia Moraes;Tenis Adidas;David Thompson;masculino;credito
2024-11-08 17:34:46.381579;175;Florianópolis;Mario Sérgio;Tenis Adidas;James Gardner;masculino;credito
2024-11-08 19:33:46.621638;176;Florianópolis;Claudia dos Santos;Tenis Nike;Brandon Rahim;masculino;pix
2024-11-08 23:15:49.729251;177;Florianópolis;Mario Sérgio;Tenis Fila;Deborah Williams;feminino;credito
2024-11-08 23:47:46.276186;178;Caxias do Sul;Mateus Kienzle;Tenis NB;Peter Jageman;masculino;credito
2024-11-09 17:18:48.941872;179;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Susan Roth;feminino;credito
2024-11-09 17:48:48.037052;180;Canoas;Luis Fernando;Tenis Fila;Raymond Adams;masculino;credito
2024-11-09 18:07:47.078507;181;Canoas;Luis Fernando;Tenis Adidas;Jerry Kendall;masculino;credito
2024-11-09 20:12:46.186852;182;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;George Bachmann;masculino;credito
2024-11-09 20:25:46.645271;183;Florianópolis;Mario Sérgio;Tenis NB;Dorothy Kirchoff;feminino;credito
2024-11-09 23:48:48.556636;184;Porto Alegre;Rodrigo Tadewald;Tenis NB;Scott Moore;masculino;pix
2024-11-09 23:55:47.593261;185;Lajeado;Adriano Soares;Tenis NB;Jose Johnson;masculino;credito
2024-11-10 00:48:49.421036;186;Canoas;Carlos Henrique;Tenis NB;Thelma Kiewiet;feminino;credito
2024-11-10 02:00:45.490956;187;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Carolann Camfield;feminino;boleto
2024-11-10 02:55:48.447770;188;São Paulo;Cassia Moraes;Tenis NB;Robert Gonzales;masculino;credito
2024-11-10 16:26:46.307896;189;Canoas;Luis Fernando;Tenis Fila;Evangeline Mcilwain;feminino;credito
2024-11-10 17:21:49.704778;190;Florianópolis;Claudia dos Santos;Tenis Nike;Steven Diaz;masculino;credito
2024-11-10 17:31:46.208153;191;Florianópolis;Claudia dos Santos;Tenis NB;Marcus Beard;masculino;credito
2024-11-10 17:35:47.020032;192;São Paulo;Cassia Moraes;Tenis Fila;Mary Penny;feminino;credito
2024-11-10 21:00:45.180980;193;Porto Alegre;Luiza Cherobini;Tenis Nike;Mai Wheat;feminino;credito
2024-11-10 21:18:47.747169;194;São Paulo;Claudio Bueno;Tenis Nike;Chong Noll;feminino;credito
2024-11-10 22:17:45.794763;195;Canoas;Luis Fernando;Tenis Adidas;Fred Alexander;masculino;pix
2024-11-11 00:24:48.932770;196;Caxias do Sul;Mateus Kienzle;Tenis NB;Hattie Mullenix;feminino;credito
2024-11-11 01:21:45.670415;197;Lajeado;Adriano Soares;Tenis Fila;Larry Talmadge;masculino;boleto
2024-11-11 19:52:45.124973;198;Lajeado;Juliano Faccioni;Tenis NB;Jordan Johns;masculino;credito
2024-11-11 20:14:45.621018;199;São Paulo;Cassia Moraes;Tenis Fila;Samuel Veenstra;masculino;credito
2024-11-11 22:09:47.052174;200;Canoas;Luis Fernando;Tenis Fila;Betty Hopps;feminino;credito
2024-11-11 22:16:45.055538;201;Caxias do Sul;Mateus Kienzle;Tenis Nike;James Lopez;masculino;boleto
2024-11-12 00:22:48.607303;202;Porto Alegre;Luiza Cherobini;Tenis Fila;Jennifer Esquibel;feminino;credito
2024-11-12 01:20:49.685911;203;Lajeado;Juliano Faccioni;Tenis NB;Robert Liu;masculino;credito
2024-11-12 01:25:46.373744;204;Florianópolis;Mario Sérgio;Tenis Adidas;Veronica Welder;feminino;credito
2024-11-12 02:09:46.055833;205;São Paulo;Cassia Moraes;Tenis Adidas;Marisa Taylor;feminino;credito
2024-11-12 02:32:45.824870;206;Canoas;Carlos Henrique;Tenis NB;Indira Price;feminino;credito
2024-11-12 16:41:46.751659;207;Florianópolis;Claudia dos Santos;Tenis Fila;Adam Graziano;masculino;credito
2024-11-12 17:33:46.109968;208;Lajeado;Adriano Soares;Tenis Nike;Diane Lewis;feminino;pix
2024-11-12 19:02:47.813723;209;Canoas;Carlos Henrique;Tenis Fila;Loretta Cole;feminino;pix
2024-11-12 20:05:46.802116;210;São Paulo;Claudio Bueno;Tenis Adidas;Francis Levin;masculino;credito
2024-11-12 22:31:45.354928;211;São Paulo;Claudio Bueno;Tenis Nike;Susan Murphy;feminino;boleto
2024-11-13 19:07:45.866914;212;Canoas;Luis Fernando;Tenis NB;Marie Altamirano;feminino;credito
2024-11-13 20:45:45.061373;213;São Paulo;Claudio Bueno;Tenis Fila;Michael Hannigan;masculino;pix
2024-11-13 20:54:45.517940;214;São Paulo;Cassia Moraes;Tenis Fila;Thomas Fala;masculino;credito
2024-11-13 21:21:46.004295;215;Florianópolis;Claudia dos Santos;Tenis Adidas;Mary Swing;feminino;credito
2024-11-13 23:40:48.876082;216;Lajeado;Adriano Soares;Tenis NB;Ralph Seabaugh;masculino;credito
2024-11-14 00:43:46.065496;217;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Jessica Hickox;feminino;credito
2024-11-14 01:19:44.963852;218;Porto Alegre;Luiza Cherobini;Tenis Fila;Kevin Davis;masculino;boleto
2024-11-14 01:42:45.259081;219;São Paulo;Cassia Moraes;Tenis Nike;James Teneyck;masculino;credito
2024-11-14 16:22:49.451473;220;Florianópolis;Mario Sérgio;Tenis Adidas;Betsy Stewart;feminino;credito
2024-11-14 16:23:46.744655;221;São Paulo;Claudio Bueno;Tenis NB;Shannon Avera;feminino;credito
2024-11-14 17:05:49.486068;222;Florianópolis;Claudia dos Santos;Tenis Adidas;Thomasena Turney;feminino;credito
2024-11-14 17:17:48.244665;223;Porto Alegre;Luiza Cherobini;Tenis NB;Gordon Bowman;masculino;credito
2024-11-14 17:44:47.187438;224;Canoas;Carlos Henrique;Tenis NB;Gertie Cormier;feminino;credito
2024-11-14 19:34:48.848573;225;Caxias do Sul;Mateus Kienzle;Tenis Nike;Joy Wilner;feminino;credito
2024-11-14 20:25:48.547140;226;Lajeado;Juliano Faccioni;Tenis Nike;Bill Donegan;masculino;credito
2024-11-14 21:09:46.559769;227;São Paulo;Cassia Moraes;Tenis Adidas;Amanda Ortiz;feminino;boleto
2024-11-14 23:01:48.225343;228;Canoas;Carlos Henrique;Tenis Fila;Henry Walker;masculino;credito
2024-11-14 23:23:47.021438;229;Lajeado;Juliano Faccioni;Tenis Nike;Karen Bras;feminino;credito
2024-11-15 00:36:47.386601;230;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Flo Nielsen;feminino;credito
2024-11-15 00:49:45.058971;231;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Norma Shelton;feminino;credito
2024-11-15 01:29:48.590728;232;Florianópolis;Mario Sérgio;Tenis Fila;Ronnie Stephens;masculino;credito
2024-11-15 19:24:45.445142;233;Caxias do Sul;Mateus Kienzle;Tenis NB;Mario Bannister;masculino;credito
2024-11-15 22:07:45.629328;234;Lajeado;Juliano Faccioni;Tenis Adidas;Larry Fultz;masculino;credito
2024-11-15 23:12:49.327972;235;Canoas;Carlos Henrique;Tenis NB;Charles Knoll;masculino;credito
2024-11-15 23:23:48.087588;236;Caxias do Sul;Mateus Kienzle;Tenis Fila;Freda Porter;feminino;credito
2024-11-15 23:57:49.437926;237;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Richard Hall;masculino;boleto
2024-11-16 00:09:46.857355;238;Canoas;Carlos Henrique;Tenis Adidas;Gary Vaughn;masculino;pix
